longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN
-117.1,32.58,27.0,20.300940104471554,13.563659456291811,20.113871988540023,14.58303827554006,1.0842869280160499,0.0,0.0,0.0,1.0
-117.66,33.62,16.0,24.192838493152976,14.770730446973866,22.23009203982663,16.149297326373453,1.6329226578672236,0.0,0.0,0.0,0.0
-118.31,33.93,37.0,16.79196342689424,10.440678649961914,16.0490887798385,11.236841645798009,1.4219663850375317,0.0,0.0,0.0,0.0
-121.04,37.6,27.0,15.504822394453857,9.563078205393776,14.335795008796792,10.055962731196837,1.0372481981401265,1.0,0.0,0.0,0.0
-122.12,37.43,33.0,21.498885348734603,14.04455233326598,18.537924876463148,14.944051751086155,1.5475316002890946,0.0,0.0,1.0,0.0
-118.42,34.02,26.0,20.39752759869682,14.988607261211367,19.675104299911556,16.007360101177635,1.2908645422129568,0.0,0.0,0.0,0.0
-118.35,33.97,26.0,22.409161603467616,16.03267867123966,21.33909078705395,16.659929766689956,1.148799821453519,0.0,0.0,0.0,0.0
-118.46,34.22,35.0,19.600657458590618,13.731276284055399,21.03747401171916,14.498785387583318,1.139552293532742,0.0,0.0,0.0,0.0
-122.12,37.39,34.0,21.99073386051837,12.904627538705256,18.25439039979772,13.973561790897017,1.8487153189310044,0.0,0.0,1.0,0.0
-117.98,34.53,13.0,20.6926956462748,13.181946004127616,18.83137067727509,13.888189905944417,1.3944453809865585,1.0,0.0,0.0,0.0
-117.97,34.06,34.0,22.02087319751363,14.138952762771025,22.382681727494578,15.01504934104453,1.3876112361840844,0.0,0.0,0.0,0.0
-121.33,37.99,15.0,23.311862536316674,16.053136765297406,19.95850383560367,17.03670524804912,1.1111287623918797,1.0,0.0,0.0,0.0
-122.0,38.35,38.0,18.70846885132174,11.779552277867499,15.433965973974006,12.491161730344581,1.126752079516997,1.0,0.0,0.0,0.0
-121.3,38.7,18.0,26.41052625419487,17.002571186233478,23.510673618871525,18.388059931647025,1.257589656374523,1.0,0.0,0.0,0.0
-118.31,34.02,41.0,15.88472795376903,10.055086140951811,15.323885378234644,10.484808331041283,0.8925237816599622,0.0,0.0,0.0,0.0
-122.69,38.32,16.0,22.271332763351698,14.220139111004444,20.25728535263133,15.168284358747567,1.4667407264678425,0.0,0.0,0.0,0.0
-121.7,39.36,46.0,16.53020712954151,10.427521241578493,13.900120904132798,11.134495583278394,0.9639865486038639,1.0,0.0,0.0,0.0
-121.8,37.3,16.0,15.267227391412906,8.941182834505323,14.51651574361456,9.473966564839364,1.4897053767223858,0.0,0.0,0.0,0.0
-122.13,37.47,25.0,17.914651310153697,11.67271102994136,19.0202402684778,12.742421056594234,1.5219476082996937,0.0,0.0,1.0,0.0
-122.47,37.75,52.0,17.81977817926029,10.94694683674144,15.084408497004212,11.46277202206412,1.4635284316933164,0.0,0.0,1.0,0.0
-121.79,37.33,10.0,21.534564624479085,13.28715957719439,21.708392501715615,14.148680548771797,1.6798646079569872,0.0,0.0,0.0,0.0
-118.88,35.34,20.0,17.03216624826584,10.582688998865985,15.536063998215896,11.294341501488537,1.0178619606411314,1.0,0.0,0.0,0.0
-118.32,34.16,46.0,19.72779653494311,12.561869805526158,16.956316675837414,13.307775449764959,1.4254490352137146,0.0,0.0,0.0,0.0
-120.97,37.66,24.0,20.909234413690506,13.543948119536909,18.673537758094355,14.529566728335837,1.3095962719582543,1.0,0.0,0.0,0.0
-117.42,34.11,25.0,23.026192454617078,15.235951846533675,21.286285440668674,15.463345268918783,1.2855902911127008,1.0,0.0,0.0,0.0
-117.93,33.72,17.0,23.297235095282144,13.524157558102821,20.69871197504252,14.605802644915125,1.7618264266268167,0.0,0.0,0.0,0.0
-122.59,38.56,43.0,19.133833113018703,11.921231294401474,15.286724999128628,11.834220180046005,1.468965209197959,0.0,0.0,0.0,0.0
-121.54,39.08,23.0,16.00848711617264,10.055086140951811,15.305334864368128,10.416152639315413,1.0790006997829575,1.0,0.0,0.0,0.0
-115.58,32.78,5.0,20.04900736077098,12.235442661550598,18.55641006733258,13.250018136385215,1.597067216312228,1.0,0.0,0.0,0.0
-117.33,34.05,26.0,13.680780126639693,8.941182834505323,13.112547178373074,9.067402313239382,0.8038292869991878,1.0,0.0,0.0,0.0
-118.34,34.04,42.0,18.942189910330033,12.882032269613239,17.719860384511282,13.307775449764959,0.9725218611495885,0.0,0.0,0.0,0.0
-119.19,36.34,33.0,19.39706012938053,12.139016477749701,17.89338219624262,12.982029981977394,1.1606381163022768,1.0,0.0,0.0,0.0
-116.43,33.78,17.0,23.070223594076403,14.300054832532117,17.233123349804135,13.650841484536432,1.6323892035051921,1.0,0.0,0.0,0.0
-117.14,32.7,32.0,16.784850689667405,11.67271102994136,18.250527885077858,12.285504819457536,0.8722955159219623,0.0,0.0,0.0,1.0
